isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,2.0,0.8929,0.8929,0.8929,0.8929,14.0,3638573.0,1.0,1.0,589.0,1.0,0.0016977929,0.579,0.3282,,True
False,2.0,0.8014,0.8426,0.8426,0.8426,15.0,5969280.0,1.0,1.0,599.0,96.0,0.16026711,0.5786,0.3308,,True
False,2.0,0.8426,0.8426,0.8426,0.8426,16.0,5969538.0,1.0,1.0,599.0,1.0,0.001669449,0.5786,0.3303,,True
False,2.0,0.8417,0.8436,0.8436,0.8436,17.0,6046332.0,1.0,1.0,598.0,11.0,0.018394649,0.5787,0.3302,,True
False,2.0,0.8436,0.8436,0.8436,0.8436,18.0,6046456.0,1.0,1.0,598.0,4.0,0.006688963,0.5787,0.3299,,True
False,2.0,0.7915,0.7981,0.7981,0.7981,19.0,7416848.0,1.0,1.0,603.0,13.0,0.021558871,0.5787,0.3294,,True
False,2.0,0.7176,0.7438,0.7438,0.7438,20.0,9684449.0,1.0,1.0,610.0,64.0,0.10491803,0.5656,0.272,,True
False,2.0,0.7195,0.7188,0.7188,0.7188,21.0,10431873.0,1.0,1.0,604.0,13.0,0.02152318,0.5636,0.2742,,True
False,2.0,0.5221,0.6312,0.6312,0.6312,22.0,17289187.0,1.0,1.0,638.0,141.0,0.22100313,0.81,0.7675,,True
False,2.0,0.6309,0.6527,0.6527,0.6527,23.0,17338649.0,1.0,1.0,648.0,64.0,0.09876543,0.8047,0.7729,,True
False,2.0,0.6508,0.6512,0.6512,0.6512,24.0,17391749.0,1.0,1.0,637.0,12.0,0.018838305,0.7952,0.7852,,True
False,2.0,0.6505,0.6698,0.6698,0.6698,25.0,17444366.0,1.0,1.0,647.0,23.0,0.035548687,0.7917,0.789,,True
False,2.0,0.6681,0.6628,0.6628,0.6628,26.0,17480576.0,1.0,1.0,640.0,7.0,0.0109375,0.8021,0.806,,False
False,2.0,0.6626,0.6638,0.6638,0.6638,27.0,17483647.0,1.0,1.0,640.0,1.0,0.0015625,0.8017,0.8077,,True
False,2.0,0.6634,0.6775,0.6775,0.6775,28.0,17513254.0,1.0,1.0,647.0,32.0,0.04945904,0.7993,0.8107,,True
False,2.0,0.6588,0.6995,0.6995,0.6995,29.0,18121140.0,1.0,1.0,606.0,110.0,0.18151815,0.7867,0.7243,,True
False,2.0,0.6952,0.6965,0.6965,0.6965,30.0,18250703.0,1.0,1.0,606.0,3.0,0.004950495,0.8619,0.6821,,True
False,2.0,0.6842,0.6963,0.6963,0.6963,31.0,18652170.0,1.0,1.0,582.0,24.0,0.041237112,0.8648,0.6856,,True
False,2.0,0.6818,0.682,0.682,0.682,32.0,19101271.0,1.0,1.0,582.0,1.0,0.0017182131,0.8652,0.69,,True
False,2.0,0.6812,0.68,0.68,0.68,33.0,19117273.0,1.0,1.0,580.0,2.0,0.0034482758,0.8652,0.6889,,False
False,2.0,0.6797,0.6814,0.6814,0.6814,34.0,19152681.0,1.0,1.0,581.0,2.0,0.0034423408,0.8651,0.6869,,False
False,2.0,0.6709,0.6753,0.6753,0.6753,35.0,19458879.0,1.0,1.0,580.0,8.0,0.013793103,0.867,0.6796,,True
False,2.0,0.6753,0.6825,0.6825,0.6825,36.0,19461693.0,1.0,1.0,583.0,7.0,0.012006861,0.8667,0.6822,,True
False,2.0,0.6705,0.6714,0.6714,0.6714,37.0,19856225.0,1.0,1.0,582.0,5.0,0.008591065,0.8649,0.683,,True
False,2.0,0.6135,0.747,0.747,0.747,38.0,21788085.0,1.0,1.0,658.0,210.0,0.31914893,0.8514,0.6441,,True
False,2.0,0.7365,0.7365,0.7365,0.7365,39.0,22128057.0,1.0,1.0,658.0,1.0,0.0015197569,0.8514,0.6427,,True
False,2.0,0.7335,0.7461,0.7461,0.7461,40.0,22216145.0,1.0,1.0,658.0,65.0,0.09878419,0.848,0.6458,,True
False,2.0,0.7071,0.7068,0.7068,0.7068,41.0,23351571.0,1.0,1.0,657.0,3.0,0.00456621,0.8367,0.6821,,True
False,2.0,,0.2587,0.6678,0.3339,42.0,28002372.0,2.0,2.0,669.0,184.0,0.27503738,0.8335,0.6834,,True
False,2.0,0.2567,0.2576,0.6618,0.3309,43.0,28178515.0,2.0,2.0,667.0,2.0,0.0029985008,0.8334,0.6824,,False
False,2.0,0.3737,0.4571,0.6253,0.3127,44.0,29879049.0,2.0,2.0,675.0,76.0,0.11259259,0.8268,0.681,,True
False,2.0,0.1552,0.1619,0.5789,0.2895,45.0,31614508.0,2.0,2.0,676.0,3.0,0.00443787,0.8249,0.6798,,True
False,2.0,0.4087,0.4512,0.5938,0.2969,46.0,32052153.0,2.0,2.0,690.0,54.0,0.07826087,0.8246,0.6807,,True
False,2.0,0.449,0.4534,0.5939,0.297,47.0,32154443.0,2.0,2.0,680.0,16.0,0.023529412,0.8241,0.6792,,True
False,2.0,0.4531,0.7228,0.784,0.392,48.0,32159590.0,2.0,2.0,771.0,473.0,0.613489,0.8461,0.5332,,True
False,2.0,0.7075,0.6694,0.7375,0.3687,49.0,32676507.0,2.0,2.0,689.0,83.0,0.120464444,0.8434,0.5351,,True
False,2.0,0.6651,0.6652,0.733,0.3665,50.0,32766954.0,2.0,2.0,689.0,2.0,0.0029027576,0.8433,0.5345,,True
False,2.0,,0.0034,0.3505,0.1168,51.0,48828055.0,3.0,3.0,689.0,2.0,0.0029027576,0.6223,0.4537,,True
False,2.0,0.3138,0.3138,0.3494,0.1165,52.0,48896854.0,3.0,3.0,689.0,2.0,0.0029027576,0.6273,0.4598,,True
False,2.0,0.3138,0.3138,0.3494,0.1165,53.0,48898203.0,3.0,3.0,689.0,2.0,0.0029027576,0.6319,0.4667,,False
False,2.0,,0.0034,0.3066,0.1022,54.0,51741785.0,3.0,4.0,689.0,2.0,0.0029027576,0.6996,0.5263,,False
False,2.0,0.26,0.2627,0.2926,0.0975,55.0,52956866.0,3.0,4.0,689.0,2.0,0.0029027576,0.7036,0.5265,,False
False,2.0,0.2454,0.2758,0.3017,0.1006,56.0,54422459.0,3.0,4.0,689.0,24.0,0.034833092,0.7083,0.538,,True
False,2.0,0.2692,0.2692,0.2945,0.0982,57.0,54948414.0,3.0,4.0,689.0,24.0,0.034833092,0.7093,0.5443,,False
False,2.0,0.2606,0.271,0.2953,0.0984,58.0,55653881.0,3.0,4.0,689.0,11.0,0.015965167,0.7104,0.5513,,True
False,2.0,0.2709,0.3022,0.3259,0.1086,59.0,55659054.0,3.0,4.0,696.0,30.0,0.04310345,0.7109,0.5517,,False
False,2.0,0.2945,0.3019,0.3245,0.1082,60.0,56224620.0,3.0,4.0,699.0,5.0,0.0071530757,0.75,0.5795,,True
False,2.0,0.3019,0.3065,0.3289,0.1096,61.0,56224779.0,3.0,4.0,702.0,3.0,0.0042735045,0.7501,0.5792,,False
False,2.0,0.3065,0.5599,0.5738,0.1913,62.0,56225285.0,3.0,4.0,698.0,303.0,0.4340974,0.7518,0.5822,,False
False,2.0,0.5461,0.5463,0.5598,0.1866,63.0,56819490.0,3.0,4.0,698.0,4.0,0.0057306592,0.7514,0.5835,,True
False,2.0,0.4511,0.149,0.1671,0.0835,64.0,60893972.0,2.0,4.0,360.0,338.0,0.9388889,0.65,0.3456,,False
True,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,0.6032,0.3347,0.0,True
False,1.0,1.0,1.0,1.0,1.0,1.0,7039.0,1.0,1.0,10.0,5.0,0.5,0.5929,0.3571,0.0,False
False,1.0,0.0595,0.0595,0.0595,0.0595,2.0,60893972.0,1.0,1.0,5.0,5.0,1.0,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,31.0,31.0,1.0,0.8556,0.2354,,False
False,0.0,,0.2051,0.9566,0.4783,1.0,1247661.0,2.0,2.0,37.0,7.0,0.1891892,0.8901,0.33,,True
False,0.0,0.7515,0.7515,0.9566,0.4783,2.0,1260172.0,2.0,2.0,43.0,7.0,0.1627907,0.8905,0.3293,,False
False,0.0,0.7515,0.7827,0.9577,0.4789,3.0,1261057.0,2.0,2.0,43.0,2.0,0.046511628,0.8908,0.3298,,True
False,0.0,0.7827,0.7827,0.9577,0.4789,4.0,1261434.0,2.0,2.0,43.0,1.0,0.023255814,0.8909,0.3292,,False
False,0.0,0.7552,0.7668,0.9282,0.4641,5.0,1993697.0,2.0,2.0,44.0,1.0,0.022727273,0.7296,0.3961,,False
False,0.0,0.3398,0.4042,0.4042,0.4042,6.0,19585320.0,1.0,2.0,6.0,38.0,6.3333335,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,68.0,68.0,1.0,0.742,0.5739,,False
False,0.0,1.0,1.0,1.0,1.0,1.0,1126.0,1.0,1.0,60.0,65.0,1.0833334,0.75,0.5797,3.0,False
False,0.0,0.8054,0.8054,0.8054,0.8054,2.0,4681046.0,1.0,1.0,0.0,60.0,inf,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,43.0,43.0,1.0,0.742,0.5739,,False
False,0.0,1.0,1.0,1.0,1.0,1.0,1126.0,1.0,1.0,37.0,37.0,1.0,0.75,0.5797,3.0,False
False,0.0,0.8054,0.8054,0.8054,0.8054,2.0,4681046.0,1.0,1.0,0.0,37.0,inf,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,60.0,60.0,1.0,0.742,0.5739,,False
False,0.0,1.0,1.0,1.0,1.0,1.0,1126.0,1.0,1.0,52.0,43.0,0.8269231,0.75,0.5797,3.0,False
False,0.0,0.8054,0.8054,0.8054,0.8054,2.0,4681046.0,1.0,1.0,0.0,52.0,inf,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,418.0,418.0,1.0,0.7693,0.7698,9.0,True
False,0.0,,0.0095,0.5679,0.284,1.0,12365484.0,2.0,2.0,418.0,4.0,0.009569378,0.7838,0.7332,9.0,False
False,0.0,,,0.537,0.2685,2.0,13569423.0,2.0,3.0,418.0,4.0,0.009569378,0.7882,0.7325,,False
False,0.0,,0.0095,0.3911,0.1956,3.0,20576218.0,2.0,4.0,418.0,4.0,0.009569378,0.8076,0.6948,,False
False,0.0,,0.0024,0.1726,0.0575,4.0,38453690.0,3.0,4.0,418.0,1.0,0.0023923444,0.7565,0.6512,9.0,False
False,0.0,0.0013,0.4231,0.4768,0.1589,5.0,51699435.0,3.0,4.0,450.0,185.0,0.41111112,0.8163,0.4308,9.0,True
False,0.0,,0.383,0.6531,0.1633,6.0,52530924.0,4.0,5.0,482.0,185.0,0.38381743,0.8322,0.444,,False
False,0.0,0.2369,0.4947,0.7437,0.1859,7.0,52532390.0,4.0,5.0,514.0,185.0,0.35992217,0.839,0.4602,,False
False,0.0,0.2235,0.4596,0.7928,0.1982,8.0,52632243.0,4.0,5.0,546.0,185.0,0.33882785,0.8401,0.4767,,False
False,0.0,0.3792,0.5414,0.731,0.1827,9.0,56789590.0,4.0,5.0,578.0,185.0,0.3200692,0.8308,0.5114,,False
False,0.0,0.0001,0.0076,0.0079,0.002,10.0,220935524.0,4.0,5.0,578.0,8.0,0.013840831,0.8699,,9.0,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,40.0,40.0,1.0,0.7336,0.5671,3.0,False
False,0.0,1.0,1.0,1.0,1.0,1.0,1165.0,1.0,1.0,33.0,30.0,0.90909094,0.75,0.5797,3.0,False
False,0.0,0.8054,0.8054,0.8054,0.8054,2.0,4681085.0,1.0,1.0,0.0,33.0,inf,0.65,0.3456,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,94.0,94.0,1.0,0.499,0.3371,4.0,False
False,0.0,1.0,1.0,1.0,1.0,1.0,175.0,1.0,1.0,188.0,94.0,0.5,0.4994,0.3374,,False
False,0.0,1.0,1.0,1.0,1.0,2.0,354.0,1.0,1.0,282.0,94.0,0.33333334,0.5065,0.3472,,False
False,0.0,0.7286,0.77,0.77,0.77,3.0,6892002.0,1.0,1.0,288.0,13.0,0.045138888,0.7157,0.4194,4.0,True
False,0.0,,0.1391,0.7668,0.3834,4.0,7832741.0,2.0,2.0,294.0,13.0,0.044217687,0.7697,0.6387,,False
False,0.0,0.6277,0.6943,0.7903,0.3952,5.0,7837829.0,2.0,2.0,300.0,13.0,0.043333333,0.7812,0.6485,,False
False,0.0,0.6943,0.7214,0.8103,0.4052,6.0,7838502.0,2.0,2.0,306.0,13.0,0.04248366,0.7892,0.6538,,False
False,0.0,0.7214,0.7448,0.8276,0.4138,7.0,7839582.0,2.0,2.0,312.0,13.0,0.041666668,0.7907,0.6455,,False
False,0.0,0.0135,0.2201,0.2216,0.1108,8.0,94321143.0,2.0,2.0,309.0,33.0,0.106796116,0.8163,0.4308,4.0,True
False,0.0,,0.2128,0.2913,0.0971,9.0,95152632.0,3.0,3.0,306.0,33.0,0.10784314,0.8322,0.444,,False
False,0.0,0.0771,0.2518,0.3251,0.1084,10.0,95154098.0,3.0,3.0,303.0,33.0,0.10891089,0.839,0.4602,,False
False,0.0,0.0717,0.2481,0.344,0.1147,11.0,95253951.0,3.0,3.0,300.0,33.0,0.11,0.8401,0.4767,,False
False,0.0,0.2046,0.2955,0.3273,0.1091,12.0,99411298.0,3.0,3.0,297.0,33.0,0.11111111,0.8308,0.5114,,False
False,0.0,0.0117,0.0118,0.013,0.0043,13.0,169134111.0,3.0,3.0,296.0,1.0,0.0033783785,0.5501,0.5149,4.0,False
False,0.0,0.0118,0.0118,0.013,0.0043,14.0,169134933.0,3.0,3.0,295.0,1.0,0.0033898305,0.5814,0.5415,,False
